Trace1,,,,,,
Freq,,Amp,,,,
1000,Hz,-7.85, dBm,49600,,
1081,Hz,-7.85, dBm,-34.6,15.256,Khz
1162,Hz,-7.85, dBm,,,
1243,Hz,-7.85, dBm,,,
1324,Hz,-7.85, dBm,,,
1405,Hz,-7.85, dBm,,,
1486,Hz,-7.85, dBm,,,
1567,Hz,-7.86, dBm,,,
1648,Hz,-7.88, dBm,,,
1729,Hz,-7.93, dBm,,,
1810,Hz,-8.02, dBm,,,
1891,Hz,-8.16, dBm,,,
1972,Hz,-8.35, dBm,,,
2053,Hz,-8.59, dBm,,,
2134,Hz,-8.85, dBm,,,
2215,Hz,-9.14, dBm,,,
2296,Hz,-9.45, dBm,,,
2377,Hz,-9.79, dBm,,,
2458,Hz,-10.15, dBm,,,
2539,Hz,-10.53, dBm,,,
2620,Hz,-10.94, dBm,,,
2701,Hz,-11.35, dBm,,,
2782,Hz,-11.79, dBm,,,
2863,Hz,-12.25, dBm,,,
2944,Hz,-12.72, dBm,,,
3025,Hz,-13.22, dBm,,,
3106,Hz,-13.73, dBm,,,
3187,Hz,-14.27, dBm,,,
3268,Hz,-14.83, dBm,,,
3349,Hz,-15.41, dBm,,,
3430,Hz,-16.01, dBm,,,
3511,Hz,-16.64, dBm,,,
3592,Hz,-17.28, dBm,,,
3673,Hz,-17.95, dBm,,,
3754,Hz,-18.64, dBm,,,
3835,Hz,-19.35, dBm,,,
3916,Hz,-20.09, dBm,,,
3997,Hz,-20.86, dBm,,,
4078,Hz,-21.64, dBm,,,
4159,Hz,-22.44, dBm,,,
4240,Hz,-23.27, dBm,,,
4321,Hz,-24.12, dBm,,,
4402,Hz,-24.99, dBm,,,
4483,Hz,-25.89, dBm,,,
4564,Hz,-26.81, dBm,,,
4645,Hz,-27.75, dBm,,,
4726,Hz,-28.71, dBm,,,
4807,Hz,-29.69, dBm,,,
4888,Hz,-30.71, dBm,,,
4969,Hz,-31.74, dBm,,,
5050,Hz,-32.79, dBm,,,
5131,Hz,-33.87, dBm,,,
5212,Hz,-34.97, dBm,,,
5293,Hz,-36.09, dBm,,,
5374,Hz,-37.23, dBm,,,
5455,Hz,-38.38, dBm,,,
5536,Hz,-39.52, dBm,,,
5617,Hz,-40.68, dBm,,,
5698,Hz,-41.85, dBm,,,
5779,Hz,-43.03, dBm,,,
5860,Hz,-44.2, dBm,,,
5941,Hz,-45.34, dBm,,,
6022,Hz,-46.42, dBm,,,
6103,Hz,-47.44, dBm,,,
6184,Hz,-48.36, dBm,,,
6265,Hz,-49.18, dBm,,,
6346,Hz,-49.91, dBm,,,
6427,Hz,-50.57, dBm,,,
6508,Hz,-51.14, dBm,,,
6589,Hz,-51.61, dBm,,,
6670,Hz,-52.01, dBm,,,
6751,Hz,-52.35, dBm,,,
6832,Hz,-52.6, dBm,,,
6913,Hz,-52.78, dBm,,,
6994,Hz,-52.93, dBm,,,
7075,Hz,-53.09, dBm,,,
7156,Hz,-53.23, dBm,,,
7237,Hz,-53.32, dBm,,,
7318,Hz,-53.37, dBm,,,
7399,Hz,-53.4, dBm,,,
7480,Hz,-53.41, dBm,,,
7561,Hz,-53.41, dBm,,,
7642,Hz,-53.4, dBm,,,
7723,Hz,-53.41, dBm,,,
7804,Hz,-53.44, dBm,,,
7885,Hz,-53.49, dBm,,,
7966,Hz,-53.54, dBm,,,
8047,Hz,-53.61, dBm,,,
8128,Hz,-53.69, dBm,,,
8209,Hz,-53.78, dBm,,,
8290,Hz,-53.88, dBm,,,
8371,Hz,-53.96, dBm,,,
8452,Hz,-54.03, dBm,,,
8533,Hz,-54.08, dBm,,,
8614,Hz,-54.13, dBm,,,
8695,Hz,-54.18, dBm,,,
8776,Hz,-54.24, dBm,,,
8857,Hz,-54.31, dBm,,,
8938,Hz,-53.11, dBm,,,
9019,Hz,-53.08, dBm,,,
9100,Hz,-53.05, dBm,,,
9181,Hz,-53.06, dBm,,,
9262,Hz,-53.11, dBm,,,
9343,Hz,-53.15, dBm,,,
9424,Hz,-53.16, dBm,,,
9505,Hz,-53.14, dBm,,,
9586,Hz,-53.06, dBm,,,
9667,Hz,-52.96, dBm,,,
9748,Hz,-52.91, dBm,,,
9829,Hz,-52.9, dBm,,,
9910,Hz,-52.94, dBm,,,
9991,Hz,-52.97, dBm,,,
10072,Hz,-52.97, dBm,,,
10153,Hz,-52.91, dBm,,,
10234,Hz,-52.81, dBm,,,
10315,Hz,-52.7, dBm,,,
10396,Hz,-52.62, dBm,,,
10477,Hz,-52.56, dBm,,,
10558,Hz,-52.54, dBm,,,
10639,Hz,-52.52, dBm,,,
10720,Hz,-52.49, dBm,,,
10801,Hz,-52.39, dBm,,,
10882,Hz,-52.26, dBm,,,
10963,Hz,-52.13, dBm,,,
11044,Hz,-52.01, dBm,,,
11125,Hz,-51.9, dBm,,,
11206,Hz,-51.79, dBm,,,
11287,Hz,-51.65, dBm,,,
11368,Hz,-51.47, dBm,,,
11449,Hz,-51.3, dBm,,,
11530,Hz,-51.13, dBm,,,
11611,Hz,-50.95, dBm,,,
11692,Hz,-50.75, dBm,,,
11773,Hz,-50.53, dBm,,,
11854,Hz,-50.3, dBm,,,
11935,Hz,-50.08, dBm,,,
12016,Hz,-49.87, dBm,,,
12097,Hz,-49.67, dBm,,,
12178,Hz,-49.49, dBm,,,
12259,Hz,-49.3, dBm,,,
12340,Hz,-49.1, dBm,,,
12421,Hz,-48.9, dBm,,,
12502,Hz,-48.69, dBm,,,
12583,Hz,-48.47, dBm,,,
12664,Hz,-48.23, dBm,,,
12745,Hz,-47.94, dBm,,,
12826,Hz,-47.63, dBm,,,
12907,Hz,-47.31, dBm,,,
12988,Hz,-46.98, dBm,,,
13069,Hz,-46.65, dBm,,,
13150,Hz,-46.33, dBm,,,
13231,Hz,-45.99, dBm,,,
13312,Hz,-45.62, dBm,,,
13393,Hz,-45.22, dBm,,,
13474,Hz,-44.79, dBm,,,
13555,Hz,-44.36, dBm,,,
13636,Hz,-43.9, dBm,,,
13717,Hz,-43.43, dBm,,,
13798,Hz,-42.95, dBm,,,
13879,Hz,-42.47, dBm,,,
13960,Hz,-41.98, dBm,,,
14041,Hz,-41.49, dBm,,,
14122,Hz,-40.98, dBm,,,
14203,Hz,-40.45, dBm,,,
14284,Hz,-39.89, dBm,,,
14365,Hz,-39.31, dBm,,,
14446,Hz,-38.71, dBm,,,
14527,Hz,-38.11, dBm,,,
14608,Hz,-37.53, dBm,,,
14689,Hz,-36.98, dBm,,,
14770,Hz,-36.49, dBm,,,
14851,Hz,-36.05, dBm,,,
14932,Hz,-35.65, dBm,,,
15013,Hz,-35.28, dBm,,,
15094,Hz,-34.96, dBm,,,
15175,Hz,-34.72, dBm,,,
15256,Hz,-34.6, dBm,,,
15337,Hz,-34.61, dBm,,,
15418,Hz,-34.78, dBm,,,
15499,Hz,-35.12, dBm,,,
15580,Hz,-35.65, dBm,,,
15661,Hz,-36.39, dBm,,,
15742,Hz,-37.41, dBm,,,
15823,Hz,-38.78, dBm,,,
15904,Hz,-40.61, dBm,,,
15985,Hz,-42.97, dBm,,,
16066,Hz,-45.64, dBm,,,
16147,Hz,-47.93, dBm,,,
16228,Hz,-48.77, dBm,,,
16309,Hz,-48, dBm,,,
16390,Hz,-46.68, dBm,,,
16471,Hz,-45.77, dBm,,,
16552,Hz,-45.63, dBm,,,
16633,Hz,-46.24, dBm,,,
16714,Hz,-47.37, dBm,,,
16795,Hz,-48.62, dBm,,,
16876,Hz,-49.5, dBm,,,
16957,Hz,-49.71, dBm,,,
17038,Hz,-49.46, dBm,,,
17119,Hz,-49.24, dBm,,,
17200,Hz,-49.35, dBm,,,
17281,Hz,-49.76, dBm,,,
17362,Hz,-50.25, dBm,,,
17443,Hz,-50.6, dBm,,,
17524,Hz,-50.77, dBm,,,
17605,Hz,-50.91, dBm,,,
17686,Hz,-51.11, dBm,,,
17767,Hz,-51.38, dBm,,,
17848,Hz,-51.61, dBm,,,
17929,Hz,-51.77, dBm,,,
18010,Hz,-51.91, dBm,,,
18091,Hz,-52.06, dBm,,,
18172,Hz,-52.24, dBm,,,
18253,Hz,-52.45, dBm,,,
18334,Hz,-52.65, dBm,,,
18415,Hz,-52.82, dBm,,,
18496,Hz,-52.98, dBm,,,
18577,Hz,-53.13, dBm,,,
18658,Hz,-53.28, dBm,,,
18739,Hz,-53.41, dBm,,,
18820,Hz,-53.55, dBm,,,
18901,Hz,-53.71, dBm,,,
18982,Hz,-53.9, dBm,,,
19063,Hz,-54.11, dBm,,,
19144,Hz,-54.3, dBm,,,
19225,Hz,-54.46, dBm,,,
19306,Hz,-54.59, dBm,,,
19387,Hz,-54.69, dBm,,,
19468,Hz,-54.79, dBm,,,
19549,Hz,-54.89, dBm,,,
19630,Hz,-54.99, dBm,,,
19711,Hz,-55.09, dBm,,,
19792,Hz,-55.21, dBm,,,
19873,Hz,-55.33, dBm,,,
19954,Hz,-55.46, dBm,,,
20035,Hz,-55.57, dBm,,,
20116,Hz,-55.68, dBm,,,
20197,Hz,-55.8, dBm,,,
20278,Hz,-55.91, dBm,,,
20359,Hz,-56, dBm,,,
20440,Hz,-56.07, dBm,,,
20521,Hz,-56.15, dBm,,,
20602,Hz,-56.22, dBm,,,
20683,Hz,-56.32, dBm,,,
20764,Hz,-56.46, dBm,,,
20845,Hz,-56.6, dBm,,,
20926,Hz,-56.7, dBm,,,
21007,Hz,-56.76, dBm,,,
21088,Hz,-56.79, dBm,,,
21169,Hz,-56.8, dBm,,,
21250,Hz,-56.8, dBm,,,
21331,Hz,-56.83, dBm,,,
21412,Hz,-56.92, dBm,,,
21493,Hz,-57.05, dBm,,,
21574,Hz,-57.2, dBm,,,
21655,Hz,-57.34, dBm,,,
21736,Hz,-57.44, dBm,,,
21817,Hz,-57.49, dBm,,,
21898,Hz,-57.5, dBm,,,
21979,Hz,-57.51, dBm,,,
22060,Hz,-57.53, dBm,,,
22141,Hz,-57.57, dBm,,,
22222,Hz,-57.61, dBm,,,
22303,Hz,-57.67, dBm,,,
22384,Hz,-57.75, dBm,,,
22465,Hz,-57.86, dBm,,,
22546,Hz,-57.95, dBm,,,
22627,Hz,-58.05, dBm,,,
22708,Hz,-58.15, dBm,,,
22789,Hz,-58.25, dBm,,,
22870,Hz,-58.33, dBm,,,
22951,Hz,-58.39, dBm,,,
23032,Hz,-58.44, dBm,,,
23113,Hz,-58.5, dBm,,,
23194,Hz,-58.56, dBm,,,
23275,Hz,-58.63, dBm,,,
23356,Hz,-58.7, dBm,,,
23437,Hz,-58.72, dBm,,,
23518,Hz,-58.72, dBm,,,
23599,Hz,-58.73, dBm,,,
23680,Hz,-58.74, dBm,,,
23761,Hz,-58.78, dBm,,,
23842,Hz,-58.83, dBm,,,
23923,Hz,-58.91, dBm,,,
24004,Hz,-59, dBm,,,
24085,Hz,-59.08, dBm,,,
24166,Hz,-59.14, dBm,,,
24247,Hz,-59.21, dBm,,,
24328,Hz,-59.29, dBm,,,
24409,Hz,-59.33, dBm,,,
24490,Hz,-59.35, dBm,,,
24571,Hz,-59.33, dBm,,,
24652,Hz,-59.33, dBm,,,
24733,Hz,-59.34, dBm,,,
24814,Hz,-59.36, dBm,,,
24895,Hz,-59.39, dBm,,,
24976,Hz,-59.42, dBm,,,
25057,Hz,-59.45, dBm,,,
25138,Hz,-59.52, dBm,,,
25219,Hz,-59.62, dBm,,,
25300,Hz,-59.74, dBm,,,
25381,Hz,-59.84, dBm,,,
25462,Hz,-59.92, dBm,,,
25543,Hz,-59.97, dBm,,,
25624,Hz,-59.97, dBm,,,
25705,Hz,-59.93, dBm,,,
25786,Hz,-59.88, dBm,,,
25867,Hz,-59.88, dBm,,,
25948,Hz,-59.91, dBm,,,
26029,Hz,-59.95, dBm,,,
26110,Hz,-60.02, dBm,,,
26191,Hz,-60.08, dBm,,,
26272,Hz,-60.11, dBm,,,
26353,Hz,-60.12, dBm,,,
26434,Hz,-60.13, dBm,,,
26515,Hz,-60.15, dBm,,,
26596,Hz,-60.18, dBm,,,
26677,Hz,-60.23, dBm,,,
26758,Hz,-60.31, dBm,,,
26839,Hz,-60.43, dBm,,,
26920,Hz,-60.53, dBm,,,
27001,Hz,-60.59, dBm,,,
27082,Hz,-60.6, dBm,,,
27163,Hz,-60.59, dBm,,,
27244,Hz,-60.58, dBm,,,
27325,Hz,-60.59, dBm,,,
27406,Hz,-60.62, dBm,,,
27487,Hz,-60.66, dBm,,,
27568,Hz,-60.71, dBm,,,
27649,Hz,-60.75, dBm,,,
27730,Hz,-60.78, dBm,,,
27811,Hz,-60.83, dBm,,,
27892,Hz,-60.91, dBm,,,
27973,Hz,-60.99, dBm,,,
28054,Hz,-61.05, dBm,,,
28135,Hz,-61.1, dBm,,,
28216,Hz,-61.11, dBm,,,
28297,Hz,-61.1, dBm,,,
28378,Hz,-61.1, dBm,,,
28459,Hz,-61.13, dBm,,,
28540,Hz,-61.2, dBm,,,
28621,Hz,-61.28, dBm,,,
28702,Hz,-61.36, dBm,,,
28783,Hz,-61.39, dBm,,,
28864,Hz,-61.38, dBm,,,
28945,Hz,-61.38, dBm,,,
29026,Hz,-61.41, dBm,,,
29107,Hz,-61.44, dBm,,,
29188,Hz,-61.47, dBm,,,
29269,Hz,-61.47, dBm,,,
29350,Hz,-61.45, dBm,,,
29431,Hz,-61.44, dBm,,,
29512,Hz,-61.46, dBm,,,
29593,Hz,-61.5, dBm,,,
29674,Hz,-61.53, dBm,,,
29755,Hz,-61.56, dBm,,,
29836,Hz,-61.57, dBm,,,
29917,Hz,-61.57, dBm,,,
29998,Hz,-61.58, dBm,,,
30079,Hz,-61.57, dBm,,,
30160,Hz,-61.53, dBm,,,
30241,Hz,-61.5, dBm,,,
30322,Hz,-61.49, dBm,,,
30403,Hz,-61.51, dBm,,,
30484,Hz,-61.54, dBm,,,
30565,Hz,-61.56, dBm,,,
30646,Hz,-61.57, dBm,,,
30727,Hz,-61.56, dBm,,,
30808,Hz,-61.53, dBm,,,
30889,Hz,-61.49, dBm,,,
30970,Hz,-61.45, dBm,,,
31051,Hz,-61.43, dBm,,,
31132,Hz,-61.44, dBm,,,
31213,Hz,-61.43, dBm,,,
31294,Hz,-61.4, dBm,,,
31375,Hz,-61.36, dBm,,,
31456,Hz,-61.34, dBm,,,
31537,Hz,-61.33, dBm,,,
31618,Hz,-61.33, dBm,,,
31699,Hz,-61.32, dBm,,,
31780,Hz,-61.29, dBm,,,
31861,Hz,-61.28, dBm,,,
31942,Hz,-61.3, dBm,,,
32023,Hz,-61.32, dBm,,,
32104,Hz,-61.34, dBm,,,
32185,Hz,-61.37, dBm,,,
32266,Hz,-61.41, dBm,,,
32347,Hz,-61.44, dBm,,,
32428,Hz,-61.47, dBm,,,
32509,Hz,-61.47, dBm,,,
32590,Hz,-61.47, dBm,,,
32671,Hz,-61.51, dBm,,,
32752,Hz,-61.55, dBm,,,
32833,Hz,-61.59, dBm,,,
32914,Hz,-61.62, dBm,,,
32995,Hz,-61.64, dBm,,,
33076,Hz,-61.66, dBm,,,
33157,Hz,-61.72, dBm,,,
33238,Hz,-61.81, dBm,,,
33319,Hz,-61.91, dBm,,,
33400,Hz,-62, dBm,,,
33481,Hz,-62.08, dBm,,,
33562,Hz,-62.12, dBm,,,
33643,Hz,-62.15, dBm,,,
33724,Hz,-62.19, dBm,,,
33805,Hz,-62.22, dBm,,,
33886,Hz,-62.27, dBm,,,
33967,Hz,-62.33, dBm,,,
34048,Hz,-62.38, dBm,,,
34129,Hz,-62.46, dBm,,,
34210,Hz,-62.54, dBm,,,
34291,Hz,-62.61, dBm,,,
34372,Hz,-62.67, dBm,,,
34453,Hz,-62.71, dBm,,,
34534,Hz,-62.76, dBm,,,
34615,Hz,-62.81, dBm,,,
34696,Hz,-62.87, dBm,,,
34777,Hz,-62.94, dBm,,,
34858,Hz,-63, dBm,,,
34939,Hz,-63.02, dBm,,,
35020,Hz,-63.04, dBm,,,
35101,Hz,-63.11, dBm,,,
35182,Hz,-63.18, dBm,,,
35263,Hz,-63.23, dBm,,,
35344,Hz,-63.26, dBm,,,
35425,Hz,-63.27, dBm,,,
35506,Hz,-63.28, dBm,,,
35587,Hz,-63.28, dBm,,,
35668,Hz,-63.26, dBm,,,
35749,Hz,-63.24, dBm,,,
35830,Hz,-63.25, dBm,,,
35911,Hz,-63.28, dBm,,,
35992,Hz,-63.32, dBm,,,
36073,Hz,-63.35, dBm,,,
36154,Hz,-63.38, dBm,,,
36235,Hz,-63.42, dBm,,,
36316,Hz,-63.45, dBm,,,
36397,Hz,-63.49, dBm,,,
36478,Hz,-63.51, dBm,,,
36559,Hz,-63.52, dBm,,,
36640,Hz,-63.55, dBm,,,
36721,Hz,-63.59, dBm,,,
36802,Hz,-63.66, dBm,,,
36883,Hz,-63.73, dBm,,,
36964,Hz,-63.78, dBm,,,
37045,Hz,-63.79, dBm,,,
37126,Hz,-63.79, dBm,,,
37207,Hz,-63.77, dBm,,,
37288,Hz,-63.76, dBm,,,
37369,Hz,-63.78, dBm,,,
37450,Hz,-63.81, dBm,,,
37531,Hz,-63.86, dBm,,,
37612,Hz,-63.9, dBm,,,
37693,Hz,-63.94, dBm,,,
37774,Hz,-63.98, dBm,,,
37855,Hz,-64.02, dBm,,,
37936,Hz,-64.03, dBm,,,
38017,Hz,-64.02, dBm,,,
38098,Hz,-64.03, dBm,,,
38179,Hz,-64.02, dBm,,,
38260,Hz,-63.99, dBm,,,
38341,Hz,-63.97, dBm,,,
38422,Hz,-63.94, dBm,,,
38503,Hz,-63.92, dBm,,,
38584,Hz,-63.89, dBm,,,
38665,Hz,-63.87, dBm,,,
38746,Hz,-63.87, dBm,,,
38827,Hz,-63.86, dBm,,,
38908,Hz,-63.86, dBm,,,
38989,Hz,-63.9, dBm,,,
39070,Hz,-63.96, dBm,,,
39151,Hz,-64.02, dBm,,,
39232,Hz,-64.06, dBm,,,
39313,Hz,-64.06, dBm,,,
39394,Hz,-64.03, dBm,,,
39475,Hz,-63.99, dBm,,,
39556,Hz,-63.97, dBm,,,
39637,Hz,-63.99, dBm,,,
39718,Hz,-64.05, dBm,,,
39799,Hz,-64.12, dBm,,,
39880,Hz,-64.2, dBm,,,
39961,Hz,-64.26, dBm,,,
40042,Hz,-64.31, dBm,,,
40123,Hz,-64.33, dBm,,,
40204,Hz,-64.34, dBm,,,
40285,Hz,-64.33, dBm,,,
40366,Hz,-64.32, dBm,,,
40447,Hz,-64.28, dBm,,,
40528,Hz,-64.21, dBm,,,
40609,Hz,-64.12, dBm,,,
40690,Hz,-64.05, dBm,,,
40771,Hz,-64.01, dBm,,,
40852,Hz,-64.02, dBm,,,
40933,Hz,-64.09, dBm,,,
41014,Hz,-64.21, dBm,,,
41095,Hz,-64.31, dBm,,,
41176,Hz,-64.35, dBm,,,
41257,Hz,-64.34, dBm,,,
41338,Hz,-64.3, dBm,,,
41419,Hz,-64.3, dBm,,,
41500,Hz,-64.33, dBm,,,
41581,Hz,-64.38, dBm,,,
41662,Hz,-64.43, dBm,,,
41743,Hz,-64.45, dBm,,,
41824,Hz,-64.48, dBm,,,
41905,Hz,-64.55, dBm,,,
41986,Hz,-64.63, dBm,,,
42067,Hz,-64.66, dBm,,,
42148,Hz,-64.64, dBm,,,
42229,Hz,-64.62, dBm,,,
42310,Hz,-64.63, dBm,,,
42391,Hz,-64.66, dBm,,,
42472,Hz,-64.67, dBm,,,
42553,Hz,-64.68, dBm,,,
42634,Hz,-64.7, dBm,,,
42715,Hz,-64.73, dBm,,,
42796,Hz,-64.77, dBm,,,
42877,Hz,-64.84, dBm,,,
42958,Hz,-64.89, dBm,,,
43039,Hz,-64.91, dBm,,,
43120,Hz,-64.86, dBm,,,
43201,Hz,-64.82, dBm,,,
43282,Hz,-64.79, dBm,,,
43363,Hz,-64.78, dBm,,,
43444,Hz,-64.77, dBm,,,
43525,Hz,-64.76, dBm,,,
43606,Hz,-64.75, dBm,,,
43687,Hz,-64.77, dBm,,,
43768,Hz,-64.81, dBm,,,
43849,Hz,-64.84, dBm,,,
43930,Hz,-64.87, dBm,,,
44011,Hz,-64.89, dBm,,,
44092,Hz,-64.91, dBm,,,
44173,Hz,-64.94, dBm,,,
44254,Hz,-64.94, dBm,,,
44335,Hz,-64.9, dBm,,,
44416,Hz,-64.85, dBm,,,
44497,Hz,-64.8, dBm,,,
44578,Hz,-64.77, dBm,,,
44659,Hz,-64.75, dBm,,,
44740,Hz,-64.75, dBm,,,
44821,Hz,-64.79, dBm,,,
44902,Hz,-64.86, dBm,,,
44983,Hz,-64.92, dBm,,,
45064,Hz,-64.94, dBm,,,
45145,Hz,-64.96, dBm,,,
45226,Hz,-64.98, dBm,,,
45307,Hz,-64.98, dBm,,,
45388,Hz,-64.95, dBm,,,
45469,Hz,-64.9, dBm,,,
45550,Hz,-64.86, dBm,,,
45631,Hz,-64.83, dBm,,,
45712,Hz,-64.8, dBm,,,
45793,Hz,-64.78, dBm,,,
45874,Hz,-64.76, dBm,,,
45955,Hz,-64.73, dBm,,,
46036,Hz,-64.7, dBm,,,
46117,Hz,-64.66, dBm,,,
46198,Hz,-64.64, dBm,,,
46279,Hz,-64.63, dBm,,,
46360,Hz,-64.63, dBm,,,
46441,Hz,-64.6, dBm,,,
46522,Hz,-64.54, dBm,,,
46603,Hz,-64.47, dBm,,,
46684,Hz,-64.4, dBm,,,
46765,Hz,-64.37, dBm,,,
46846,Hz,-64.38, dBm,,,
46927,Hz,-64.4, dBm,,,
47008,Hz,-64.42, dBm,,,
47089,Hz,-64.45, dBm,,,
47170,Hz,-64.46, dBm,,,
47251,Hz,-64.46, dBm,,,
47332,Hz,-64.46, dBm,,,
47413,Hz,-64.48, dBm,,,
47494,Hz,-64.51, dBm,,,
47575,Hz,-64.5, dBm,,,
47656,Hz,-64.46, dBm,,,
47737,Hz,-64.39, dBm,,,
47818,Hz,-64.31, dBm,,,
47899,Hz,-64.25, dBm,,,
47980,Hz,-64.24, dBm,,,
48061,Hz,-64.26, dBm,,,
48142,Hz,-64.26, dBm,,,
48223,Hz,-64.24, dBm,,,
48304,Hz,-64.2, dBm,,,
48385,Hz,-64.17, dBm,,,
48466,Hz,-64.21, dBm,,,
48547,Hz,-64.27, dBm,,,
48628,Hz,-64.33, dBm,,,
48709,Hz,-64.37, dBm,,,
48790,Hz,-64.4, dBm,,,
48871,Hz,-64.4, dBm,,,
48952,Hz,-64.37, dBm,,,
49033,Hz,-64.32, dBm,,,
49114,Hz,-64.26, dBm,,,
49195,Hz,-64.21, dBm,,,
49276,Hz,-64.18, dBm,,,
49357,Hz,-64.19, dBm,,,
49438,Hz,-64.26, dBm,,,
49519,Hz,-64.33, dBm,,,
49600,Hz,-64.39, dBm,,,
