,CH1,CH2,
Second,Volt,Volt,
5.62E-02,-5.20E+00,3.04E+00, 
5.63E-02,-5.20E+00,3.18E+00, 
5.63E-02,-5.60E+00,3.18E+00, 
5.63E-02,-5.20E+00,3.20E+00, 
5.64E-02,-5.20E+00,3.20E+00, 
5.64E-02,-5.60E+00,3.10E+00, 
5.65E-02,-5.60E+00,3.08E+00, 
5.65E-02,-5.60E+00,2.86E+00, 
5.65E-02,-5.60E+00,2.82E+00, 
5.66E-02,-5.20E+00,2.60E+00, 
5.66E-02,-5.20E+00,2.60E+00, 
5.67E-02,-5.60E+00,2.40E+00, 
5.67E-02,-5.20E+00,2.38E+00, 
5.67E-02,-5.20E+00,2.28E+00, 
5.68E-02,-5.20E+00,2.28E+00, 
5.68E-02,-5.20E+00,2.26E+00, 
5.69E-02,-5.20E+00,2.28E+00, 
5.69E-02,-5.20E+00,2.36E+00, 
5.69E-02,-5.20E+00,2.38E+00, 
5.70E-02,-5.20E+00,2.50E+00, 
5.70E-02,-4.80E+00,2.52E+00, 
5.71E-02,-5.20E+00,2.64E+00, 
5.71E-02,-5.20E+00,2.66E+00, 
5.71E-02,-4.80E+00,2.82E+00, 
5.72E-02,-4.80E+00,2.82E+00, 
5.72E-02,-4.80E+00,2.96E+00, 
5.73E-02,-4.80E+00,2.96E+00, 
5.73E-02,-5.20E+00,3.06E+00, 
5.73E-02,-4.80E+00,3.08E+00, 
5.74E-02,-4.40E+00,3.14E+00, 
5.74E-02,-4.80E+00,3.14E+00, 
5.75E-02,-4.80E+00,3.18E+00, 
5.75E-02,-4.40E+00,3.18E+00, 
5.75E-02,-4.80E+00,3.20E+00, 
5.76E-02,-4.40E+00,3.22E+00, 
5.76E-02,-4.80E+00,3.20E+00, 
5.77E-02,-4.40E+00,3.20E+00, 
5.77E-02,-4.40E+00,3.22E+00, 
5.77E-02,-4.40E+00,3.20E+00, 
5.78E-02,-4.40E+00,3.18E+00, 
5.78E-02,-4.40E+00,3.18E+00, 
5.79E-02,-4.40E+00,3.18E+00, 
5.79E-02,-4.40E+00,3.18E+00, 
5.79E-02,-4.40E+00,3.16E+00, 
5.80E-02,-4.40E+00,3.18E+00, 
5.80E-02,-4.40E+00,3.16E+00, 
5.81E-02,-4.40E+00,3.18E+00, 
5.81E-02,-4.40E+00,3.16E+00, 
5.81E-02,-4.40E+00,3.18E+00, 
5.82E-02,-4.40E+00,3.16E+00, 
5.82E-02,-4.40E+00,3.18E+00, 
5.83E-02,-4.40E+00,3.20E+00, 
5.83E-02,-4.40E+00,3.18E+00, 
5.83E-02,-4.40E+00,3.22E+00, 
5.84E-02,-4.00E+00,3.20E+00, 
5.84E-02,-4.40E+00,3.22E+00, 
5.85E-02,-4.40E+00,3.18E+00, 
5.85E-02,-4.00E+00,3.22E+00, 
5.85E-02,-4.00E+00,3.20E+00, 
5.86E-02,-4.40E+00,3.18E+00, 
5.86E-02,-4.00E+00,3.18E+00, 
5.87E-02,-4.00E+00,3.16E+00, 
5.87E-02,-4.00E+00,3.16E+00, 
5.87E-02,-4.00E+00,3.12E+00, 
5.88E-02,-4.00E+00,3.10E+00, 
5.88E-02,-3.60E+00,3.04E+00, 
5.89E-02,-4.00E+00,3.04E+00, 
5.89E-02,-3.60E+00,2.94E+00, 
5.89E-02,-3.60E+00,2.94E+00, 
5.90E-02,-4.00E+00,2.82E+00, 
5.90E-02,-3.60E+00,2.82E+00, 
5.91E-02,-3.20E+00,2.68E+00, 
5.91E-02,-3.60E+00,2.68E+00, 
5.91E-02,-3.60E+00,2.58E+00, 
5.92E-02,-3.60E+00,2.56E+00, 
5.92E-02,-3.60E+00,2.46E+00, 
5.93E-02,-3.60E+00,2.46E+00, 
5.93E-02,-3.20E+00,2.36E+00, 
5.93E-02,-3.60E+00,2.36E+00, 
5.94E-02,-3.20E+00,2.30E+00, 
5.94E-02,-3.20E+00,2.28E+00, 
5.95E-02,-3.20E+00,2.24E+00, 
5.95E-02,-3.20E+00,2.24E+00, 
5.95E-02,-3.20E+00,2.28E+00, 
5.96E-02,-3.20E+00,2.28E+00, 
5.96E-02,-3.20E+00,2.36E+00, 
5.97E-02,-3.20E+00,2.36E+00, 
5.97E-02,-3.20E+00,2.46E+00, 
5.97E-02,-3.20E+00,2.48E+00, 
5.98E-02,-3.20E+00,2.62E+00, 
5.98E-02,-3.20E+00,2.64E+00, 
5.99E-02,-3.20E+00,2.80E+00, 
5.99E-02,-3.20E+00,2.82E+00, 
5.99E-02,-3.20E+00,2.96E+00, 
6.00E-02,-3.20E+00,2.98E+00, 
6.00E-02,-3.20E+00,3.10E+00, 
6.01E-02,-3.20E+00,3.10E+00, 
6.01E-02,-2.80E+00,3.18E+00, 
6.01E-02,-2.80E+00,3.18E+00, 
6.02E-02,-3.20E+00,3.22E+00, 
6.02E-02,-2.80E+00,3.22E+00, 
6.03E-02,-3.20E+00,3.18E+00, 
6.03E-02,-2.80E+00,3.16E+00, 
6.03E-02,-2.40E+00,3.08E+00, 
6.04E-02,-2.80E+00,3.06E+00, 
6.04E-02,-2.80E+00,2.92E+00, 
6.05E-02,-2.80E+00,2.92E+00, 
6.05E-02,-2.80E+00,2.74E+00, 
6.05E-02,-2.80E+00,2.72E+00, 
6.06E-02,-2.40E+00,2.54E+00, 
6.06E-02,-2.80E+00,2.50E+00, 
6.07E-02,-2.40E+00,2.34E+00, 
6.07E-02,-2.40E+00,2.32E+00, 
6.07E-02,-2.40E+00,2.26E+00, 
6.08E-02,-2.40E+00,2.26E+00, 
6.08E-02,-2.00E+00,2.40E+00, 
6.09E-02,-2.40E+00,2.44E+00, 
6.09E-02,-2.40E+00,2.72E+00, 
6.09E-02,-2.40E+00,2.78E+00, 
6.10E-02,-2.00E+00,3.10E+00, 
6.10E-02,-2.00E+00,3.12E+00, 
6.11E-02,-2.40E+00,3.20E+00, 
6.11E-02,-2.00E+00,3.18E+00, 
6.11E-02,-1.60E+00,2.96E+00, 
6.12E-02,-2.00E+00,2.92E+00, 
6.12E-02,-2.00E+00,2.58E+00, 
6.13E-02,-2.00E+00,2.54E+00, 
6.13E-02,-2.00E+00,2.32E+00, 
6.13E-02,-2.00E+00,2.26E+00, 
6.14E-02,-1.60E+00,2.32E+00, 
6.14E-02,-2.00E+00,2.32E+00, 
6.15E-02,-1.60E+00,2.56E+00, 
6.15E-02,-1.60E+00,2.60E+00, 
6.15E-02,-2.00E+00,2.94E+00, 
6.16E-02,-1.60E+00,2.98E+00, 
6.16E-02,-2.00E+00,3.18E+00, 
6.17E-02,-1.60E+00,3.20E+00, 
6.17E-02,-1.60E+00,3.10E+00, 
6.17E-02,-1.60E+00,3.06E+00, 
6.18E-02,-1.60E+00,2.72E+00, 
6.18E-02,-1.60E+00,2.68E+00, 
6.19E-02,-1.60E+00,2.36E+00, 
6.19E-02,-1.60E+00,2.34E+00, 
6.19E-02,-1.60E+00,2.26E+00, 
6.20E-02,-1.60E+00,2.32E+00, 
6.20E-02,-1.60E+00,2.62E+00, 
6.21E-02,-1.60E+00,2.66E+00, 
6.21E-02,-1.60E+00,3.04E+00, 
6.21E-02,-1.60E+00,3.08E+00, 
6.22E-02,-1.60E+00,3.22E+00, 
6.22E-02,-1.60E+00,3.20E+00, 
6.23E-02,-1.20E+00,3.04E+00, 
6.23E-02,-1.60E+00,3.00E+00, 
6.23E-02,-1.20E+00,2.70E+00, 
6.24E-02,-1.20E+00,2.68E+00, 
6.24E-02,-1.20E+00,2.38E+00, 
6.25E-02,-1.20E+00,2.36E+00, 
6.25E-02,-1.20E+00,2.26E+00, 
6.25E-02,-1.20E+00,2.26E+00, 
6.26E-02,-1.20E+00,2.46E+00, 
6.26E-02,-1.20E+00,2.48E+00, 
6.27E-02,-1.20E+00,2.84E+00, 
6.27E-02,-1.20E+00,2.90E+00, 
6.27E-02,-8.00E-01,3.18E+00, 
6.28E-02,-1.20E+00,3.18E+00, 
6.28E-02,-8.00E-01,3.22E+00, 
6.29E-02,-8.00E-01,3.16E+00, 
6.29E-02,-8.00E-01,2.88E+00, 
6.29E-02,-8.00E-01,2.82E+00, 
6.30E-02,-8.00E-01,2.48E+00, 
6.30E-02,-8.00E-01,2.46E+00, 
6.31E-02,-4.00E-01,2.28E+00, 
6.31E-02,-4.00E-01,2.26E+00, 
6.31E-02,-8.00E-01,2.36E+00, 
6.32E-02,-8.00E-01,2.38E+00, 
6.32E-02,-4.00E-01,2.68E+00, 
6.33E-02,-4.00E-01,2.72E+00, 
6.33E-02,-8.00E-01,3.04E+00, 
6.33E-02,-4.00E-01,3.08E+00, 
6.34E-02,-4.00E-01,3.24E+00, 
6.34E-02,-4.00E-01,3.24E+00, 
6.35E-02,-4.00E-01,3.10E+00, 
6.35E-02,-4.00E-01,3.08E+00, 
6.35E-02,-4.00E-01,2.74E+00, 
6.36E-02,-4.00E-01,2.70E+00, 
6.36E-02,-4.00E-01,2.38E+00, 
6.37E-02,-4.00E-01,2.36E+00, 
6.37E-02,-4.00E-01,2.26E+00, 
6.37E-02,-4.00E-01,2.28E+00, 
6.38E-02,-4.00E-01,2.46E+00, 
6.38E-02,-4.00E-01,2.50E+00, 
6.39E-02,-4.00E-01,2.88E+00, 
6.39E-02,-4.00E-01,2.92E+00, 
6.39E-02,0.00E+00,3.18E+00, 
6.40E-02,-4.00E-01,3.24E+00, 
6.40E-02,0.00E+00,3.18E+00, 
6.41E-02,-4.00E-01,3.18E+00, 
6.41E-02,0.00E+00,2.88E+00, 
6.41E-02,-4.00E-01,2.84E+00, 
6.42E-02,0.00E+00,2.52E+00, 
6.42E-02,0.00E+00,2.46E+00, 
6.43E-02,-4.00E-01,2.28E+00, 
6.43E-02,0.00E+00,2.26E+00, 
6.43E-02,0.00E+00,2.36E+00, 
6.44E-02,0.00E+00,2.38E+00, 
6.44E-02,4.00E-01,2.72E+00, 
6.45E-02,0.00E+00,2.74E+00, 
6.45E-02,4.00E-01,3.10E+00, 
6.45E-02,0.00E+00,3.14E+00, 
6.46E-02,4.00E-01,3.24E+00, 
6.46E-02,4.00E-01,3.20E+00, 
6.47E-02,4.00E-01,2.98E+00, 
6.47E-02,4.00E-01,2.94E+00, 
6.47E-02,4.00E-01,2.56E+00, 
6.48E-02,4.00E-01,2.52E+00, 
6.48E-02,4.00E-01,2.28E+00, 
6.49E-02,4.00E-01,2.26E+00, 
6.49E-02,4.00E-01,2.36E+00, 
6.49E-02,4.00E-01,2.38E+00, 
6.50E-02,8.00E-01,2.74E+00, 
6.50E-02,8.00E-01,2.80E+00, 
6.51E-02,4.00E-01,3.16E+00, 
6.51E-02,8.00E-01,3.18E+00, 
6.51E-02,4.00E-01,3.24E+00, 
6.52E-02,8.00E-01,3.20E+00, 
6.52E-02,8.00E-01,2.86E+00, 
6.53E-02,1.20E+00,2.82E+00, 
6.53E-02,8.00E-01,2.42E+00, 
6.53E-02,1.20E+00,2.38E+00, 
6.54E-02,8.00E-01,2.26E+00, 
6.54E-02,8.00E-01,2.28E+00, 
6.55E-02,1.20E+00,2.58E+00, 
6.55E-02,1.20E+00,2.62E+00, 
6.55E-02,1.20E+00,3.08E+00, 
6.56E-02,1.20E+00,3.10E+00, 
6.56E-02,1.20E+00,3.24E+00, 
6.57E-02,1.20E+00,3.20E+00, 
6.57E-02,1.20E+00,2.82E+00, 
6.57E-02,1.20E+00,2.78E+00, 
6.58E-02,1.20E+00,2.38E+00, 
6.58E-02,1.20E+00,2.34E+00, 
6.59E-02,1.20E+00,2.26E+00, 
6.59E-02,1.20E+00,2.34E+00, 
6.59E-02,1.20E+00,2.80E+00, 
6.60E-02,1.20E+00,2.86E+00, 
6.60E-02,1.20E+00,3.22E+00, 
6.61E-02,1.20E+00,3.24E+00, 
6.61E-02,1.20E+00,3.04E+00, 
6.61E-02,1.20E+00,2.98E+00, 
6.62E-02,1.60E+00,2.48E+00, 
6.62E-02,1.20E+00,2.44E+00, 
6.63E-02,1.60E+00,2.28E+00, 
6.63E-02,1.60E+00,2.32E+00, 
6.63E-02,1.20E+00,2.74E+00, 
6.64E-02,1.60E+00,2.80E+00, 
6.64E-02,1.20E+00,3.22E+00, 
6.65E-02,1.60E+00,3.24E+00, 
6.65E-02,1.60E+00,2.96E+00, 
6.65E-02,2.00E+00,2.92E+00, 
6.66E-02,1.60E+00,2.40E+00, 
6.66E-02,1.60E+00,2.38E+00, 
6.67E-02,1.60E+00,2.28E+00, 
6.67E-02,1.60E+00,2.38E+00, 
6.67E-02,2.00E+00,2.94E+00, 
6.68E-02,1.60E+00,3.00E+00, 
6.68E-02,2.00E+00,3.22E+00, 
6.69E-02,2.00E+00,3.18E+00, 
6.69E-02,2.00E+00,2.72E+00, 
6.69E-02,2.00E+00,2.66E+00, 
6.70E-02,2.00E+00,2.28E+00, 
6.70E-02,2.00E+00,2.28E+00, 
6.71E-02,2.00E+00,2.64E+00, 
6.71E-02,2.00E+00,2.68E+00, 
6.71E-02,2.40E+00,3.20E+00, 
6.72E-02,2.40E+00,3.22E+00, 
6.72E-02,2.00E+00,2.96E+00, 
6.73E-02,2.00E+00,2.90E+00, 
6.73E-02,2.40E+00,2.36E+00, 
6.73E-02,2.40E+00,2.28E+00, 
6.74E-02,2.40E+00,2.46E+00, 
6.74E-02,2.40E+00,2.54E+00, 
6.75E-02,2.80E+00,3.14E+00, 
6.75E-02,2.40E+00,3.24E+00, 
6.75E-02,2.80E+00,3.04E+00, 
6.76E-02,2.40E+00,2.96E+00, 
6.76E-02,2.80E+00,2.38E+00, 
6.77E-02,2.80E+00,2.28E+00, 
6.77E-02,2.40E+00,2.46E+00, 
6.77E-02,2.80E+00,2.52E+00, 
6.78E-02,2.80E+00,3.14E+00, 
6.78E-02,2.80E+00,3.24E+00, 
6.79E-02,2.80E+00,3.04E+00, 
6.79E-02,2.80E+00,2.96E+00, 
6.79E-02,2.80E+00,2.36E+00, 
6.80E-02,2.80E+00,2.28E+00, 
6.80E-02,2.80E+00,2.54E+00, 
