,CH1,CH3
-6.85600e-04,-8.00e-03,1.99e-01, 
-5.85600e-04,-8.00e-03,1.99e-01, 
-4.85600e-04,1.60e-02,1.90e-01, 
-3.85600e-04,2.40e-02,1.90e-01, 
-2.85600e-04,4.00e-02,1.81e-01, 
-1.85600e-04,4.80e-02,1.79e-01, 
-8.56000e-05,6.40e-02,1.72e-01, 
1.44000e-05,6.40e-02,1.72e-01, 
1.14400e-04,8.80e-02,1.68e-01, 
2.14400e-04,8.80e-02,1.67e-01, 
3.14400e-04,1.12e-01,1.73e-01, 
4.14400e-04,1.12e-01,1.73e-01, 
5.14400e-04,1.36e-01,1.82e-01, 
6.14400e-04,1.36e-01,1.82e-01, 
7.14400e-04,1.60e-01,1.90e-01, 
8.14400e-04,1.60e-01,1.89e-01, 
9.14400e-04,1.84e-01,1.97e-01, 
1.01440e-03,1.92e-01,2.00e-01, 
1.11440e-03,2.08e-01,1.95e-01, 
1.21440e-03,2.16e-01,1.99e-01, 
1.31440e-03,2.32e-01,1.91e-01, 
1.41440e-03,2.40e-01,1.92e-01, 
1.51440e-03,2.56e-01,1.86e-01, 
1.61440e-03,2.56e-01,1.86e-01, 
1.71440e-03,2.80e-01,1.77e-01, 
1.81440e-03,2.88e-01,1.78e-01, 
1.91440e-03,3.12e-01,1.71e-01, 
2.01440e-03,3.12e-01,1.73e-01, 
2.11440e-03,3.36e-01,1.68e-01, 
2.21440e-03,3.36e-01,1.71e-01, 
2.31440e-03,3.60e-01,1.66e-01, 
2.41440e-03,3.60e-01,1.67e-01, 
2.51440e-03,3.84e-01,1.73e-01, 
2.61440e-03,3.84e-01,1.72e-01, 
2.71440e-03,4.00e-01,1.76e-01, 
2.81440e-03,4.08e-01,1.76e-01, 
2.91440e-03,4.32e-01,1.81e-01, 
3.01440e-03,4.32e-01,1.81e-01, 
3.11440e-03,4.56e-01,1.84e-01, 
3.21440e-03,4.56e-01,1.86e-01, 
3.31440e-03,4.80e-01,1.90e-01, 
3.41440e-03,4.80e-01,1.90e-01, 
3.51440e-03,5.04e-01,1.93e-01, 
3.61440e-03,5.12e-01,1.97e-01, 
3.71440e-03,5.28e-01,1.94e-01, 
3.81440e-03,5.36e-01,1.94e-01, 
3.91440e-03,5.52e-01,1.98e-01, 
4.01440e-03,5.60e-01,1.97e-01, 
4.11440e-03,5.76e-01,1.94e-01, 
4.21440e-03,5.84e-01,1.96e-01, 
4.31440e-03,6.00e-01,1.93e-01, 
4.41440e-03,6.08e-01,1.93e-01, 
4.51440e-03,6.24e-01,1.88e-01, 
4.61440e-03,6.24e-01,1.90e-01, 
4.71440e-03,6.48e-01,1.80e-01, 
4.81440e-03,6.40e-01,1.78e-01, 
4.91440e-03,6.24e-01,1.82e-01, 
5.01440e-03,6.16e-01,1.82e-01, 
5.11440e-03,5.92e-01,1.96e-01, 
5.21440e-03,5.92e-01,1.98e-01, 
5.31440e-03,5.68e-01,1.93e-01, 
5.41440e-03,5.68e-01,1.91e-01, 
5.51440e-03,5.44e-01,1.85e-01, 
5.61440e-03,5.44e-01,1.87e-01, 
5.71440e-03,5.20e-01,1.80e-01, 
5.81440e-03,5.12e-01,1.79e-01, 
5.91440e-03,4.96e-01,1.69e-01, 
6.01440e-03,4.96e-01,1.68e-01, 
6.11440e-03,4.72e-01,1.73e-01, 
6.21440e-03,4.72e-01,1.72e-01, 
6.31440e-03,4.48e-01,1.77e-01, 
6.41440e-03,4.48e-01,1.79e-01, 
6.51440e-03,4.24e-01,1.87e-01, 
6.61440e-03,4.24e-01,1.87e-01, 
6.71440e-03,3.92e-01,1.96e-01, 
6.81440e-03,3.92e-01,1.98e-01, 
6.91440e-03,3.76e-01,1.95e-01, 
7.01440e-03,3.68e-01,1.98e-01, 
7.11440e-03,3.52e-01,1.92e-01, 
7.21440e-03,3.44e-01,1.93e-01, 
7.31440e-03,3.20e-01,1.83e-01, 
7.41440e-03,3.20e-01,1.84e-01, 
7.51440e-03,3.04e-01,1.73e-01, 
7.61440e-03,2.96e-01,1.73e-01, 
7.71440e-03,2.80e-01,1.68e-01, 
7.81440e-03,2.72e-01,1.71e-01, 
7.91440e-03,2.56e-01,1.66e-01, 
8.01440e-03,2.56e-01,1.67e-01, 
8.11440e-03,2.24e-01,1.77e-01, 
8.21440e-03,2.24e-01,1.78e-01, 
8.31440e-03,2.00e-01,1.86e-01, 
8.41440e-03,1.92e-01,1.87e-01, 
8.51440e-03,1.68e-01,1.92e-01, 
8.61440e-03,1.68e-01,1.92e-01, 
8.71440e-03,1.52e-01,1.99e-01, 
8.81440e-03,1.44e-01,1.99e-01, 
8.91440e-03,1.20e-01,1.94e-01, 
9.01440e-03,1.20e-01,1.95e-01, 
9.11440e-03,1.04e-01,1.87e-01, 
9.21440e-03,9.60e-02,1.89e-01, 
9.31440e-03,8.00e-02,1.79e-01, 
9.41440e-03,7.20e-02,1.78e-01, 
9.51440e-03,5.60e-02,1.71e-01, 
9.61440e-03,4.80e-02,1.70e-01, 
9.71440e-03,2.40e-02,1.67e-01, 
9.81440e-03,2.40e-02,1.69e-01, 
9.91440e-03,-8.00e-03,1.73e-01, 
1.00144e-02,-8.00e-03,1.73e-01, 
1.01144e-02,-3.20e-02,1.82e-01, 
1.02144e-02,-3.20e-02,1.83e-01, 
1.03144e-02,-5.60e-02,1.91e-01, 
1.04144e-02,-5.60e-02,1.89e-01, 
1.05144e-02,-8.00e-02,1.99e-01, 
1.06144e-02,-8.00e-02,1.95e-01, 
1.07144e-02,-1.04e-01,1.99e-01, 
1.08144e-02,-1.04e-01,1.96e-01, 
1.09144e-02,-1.28e-01,1.89e-01, 
1.10144e-02,-1.28e-01,1.89e-01, 
1.11144e-02,-1.52e-01,1.80e-01, 
1.12144e-02,-1.52e-01,1.80e-01, 
1.13144e-02,-1.76e-01,1.70e-01, 
1.14144e-02,-1.76e-01,1.72e-01, 
1.15144e-02,-2.08e-01,1.67e-01, 
1.16144e-02,-2.08e-01,1.68e-01, 
1.17144e-02,-2.32e-01,1.72e-01, 
1.18144e-02,-2.32e-01,1.70e-01, 
1.19144e-02,-2.56e-01,1.80e-01, 
1.20144e-02,-2.64e-01,1.82e-01, 
1.21144e-02,-2.80e-01,1.90e-01, 
1.22144e-02,-2.88e-01,1.89e-01, 
1.23144e-02,-3.04e-01,1.96e-01, 
1.24144e-02,-3.12e-01,1.96e-01, 
1.25144e-02,-3.28e-01,1.99e-01, 
1.26144e-02,-3.28e-01,2.00e-01, 
1.27144e-02,-3.52e-01,1.92e-01, 
1.28144e-02,-3.52e-01,1.95e-01, 
1.29144e-02,-3.76e-01,1.84e-01, 
1.30144e-02,-3.76e-01,1.84e-01, 
1.31144e-02,-4.08e-01,1.75e-01, 
1.32144e-02,-4.08e-01,1.78e-01, 
1.33144e-02,-4.24e-01,1.68e-01, 
1.34144e-02,-4.32e-01,1.67e-01, 
1.35144e-02,-4.48e-01,1.71e-01, 
1.36144e-02,-4.56e-01,1.68e-01, 
1.37144e-02,-4.72e-01,1.76e-01, 
1.38144e-02,-4.80e-01,1.78e-01, 
1.39144e-02,-4.96e-01,1.87e-01, 
1.40144e-02,-4.96e-01,1.85e-01, 
1.41144e-02,-5.28e-01,1.94e-01, 
1.42144e-02,-5.28e-01,1.94e-01, 
1.43144e-02,-5.44e-01,1.99e-01, 
1.44144e-02,-5.44e-01,1.99e-01, 
1.45144e-02,-5.76e-01,1.95e-01, 
1.46144e-02,-5.76e-01,1.95e-01, 
1.47144e-02,-5.92e-01,1.86e-01, 
1.48144e-02,-5.84e-01,1.84e-01, 
1.49144e-02,-5.68e-01,1.77e-01, 
1.50144e-02,-5.60e-01,1.76e-01, 
1.51144e-02,-5.36e-01,1.91e-01, 
1.52144e-02,-5.36e-01,1.93e-01, 
1.53144e-02,-5.20e-01,1.99e-01, 
1.54144e-02,-5.12e-01,1.97e-01, 
1.55144e-02,-4.88e-01,2.00e-01, 
1.56144e-02,-4.88e-01,1.97e-01, 
1.57144e-02,-4.64e-01,2.00e-01, 
1.58144e-02,-4.64e-01,2.01e-01, 
1.59144e-02,-4.40e-01,1.96e-01, 
1.60144e-02,-4.32e-01,1.96e-01, 
1.61144e-02,-4.16e-01,1.89e-01, 
1.62144e-02,-4.08e-01,1.86e-01, 
1.63144e-02,-3.92e-01,1.89e-01, 
1.64144e-02,-3.84e-01,1.88e-01, 
1.65144e-02,-3.60e-01,1.83e-01, 
1.66144e-02,-3.60e-01,1.84e-01, 
1.67144e-02,-3.44e-01,1.76e-01, 
1.68144e-02,-3.36e-01,1.75e-01, 
1.69144e-02,-3.20e-01,1.71e-01, 
1.70144e-02,-3.12e-01,1.72e-01, 
1.71144e-02,-2.88e-01,1.69e-01, 
1.72144e-02,-2.88e-01,1.71e-01, 
1.73144e-02,-2.64e-01,1.68e-01, 
1.74144e-02,-2.64e-01,1.68e-01, 
1.75144e-02,-2.40e-01,1.70e-01, 
1.76144e-02,-2.32e-01,1.68e-01, 
1.77144e-02,-2.16e-01,1.73e-01, 
1.78144e-02,-2.08e-01,1.71e-01, 
1.79144e-02,-1.84e-01,1.74e-01, 
1.80144e-02,-1.84e-01,1.76e-01, 
1.81144e-02,-1.60e-01,1.83e-01, 
1.82144e-02,-1.60e-01,1.82e-01, 
1.83144e-02,-1.36e-01,1.87e-01, 
1.84144e-02,-1.36e-01,1.88e-01, 
1.85144e-02,-1.20e-01,1.92e-01, 
1.86144e-02,-1.12e-01,1.92e-01, 
1.87144e-02,-8.80e-02,1.97e-01, 
1.88144e-02,-8.80e-02,1.97e-01, 
1.89144e-02,-6.40e-02,2.00e-01, 
1.90144e-02,-6.40e-02,1.99e-01, 
1.91144e-02,-3.20e-02,1.94e-01, 
1.92144e-02,-3.20e-02,1.97e-01, 
1.93144e-02,-1.60e-02,1.90e-01, 
1.94144e-02,-8.00e-03,1.91e-01, 
1.95144e-02,8.00e-03,1.83e-01, 
1.96144e-02,1.60e-02,1.82e-01, 
1.97144e-02,4.00e-02,1.72e-01, 
1.98144e-02,4.00e-02,1.72e-01, 
1.99144e-02,6.40e-02,1.68e-01, 
2.00144e-02,6.40e-02,1.67e-01, 
2.01144e-02,8.80e-02,1.72e-01, 
2.02144e-02,8.80e-02,1.67e-01, 
2.03144e-02,1.12e-01,1.79e-01, 
2.04144e-02,1.12e-01,1.80e-01, 
2.05144e-02,1.36e-01,1.89e-01, 
2.06144e-02,1.36e-01,1.89e-01, 
2.07144e-02,1.60e-01,1.96e-01, 
2.08144e-02,1.60e-01,1.95e-01, 
2.09144e-02,1.84e-01,1.98e-01, 
2.10144e-02,1.84e-01,2.00e-01, 
2.11144e-02,2.08e-01,1.91e-01, 
2.12144e-02,2.08e-01,1.92e-01, 
2.13144e-02,2.32e-01,1.80e-01, 
2.14144e-02,2.40e-01,1.79e-01, 
2.15144e-02,2.56e-01,1.70e-01, 
2.16144e-02,2.64e-01,1.72e-01, 
2.17144e-02,2.80e-01,1.68e-01, 
2.18144e-02,2.80e-01,1.69e-01, 
2.19144e-02,3.12e-01,1.79e-01, 
2.20144e-02,3.12e-01,1.79e-01, 
2.21144e-02,3.28e-01,1.90e-01, 
2.22144e-02,3.36e-01,1.91e-01, 
2.23144e-02,3.52e-01,1.98e-01, 
2.24144e-02,3.60e-01,1.99e-01, 
2.25144e-02,3.76e-01,1.93e-01, 
2.26144e-02,3.84e-01,1.96e-01, 
2.27144e-02,4.00e-01,1.85e-01, 
2.28144e-02,4.08e-01,1.84e-01, 
2.29144e-02,4.24e-01,1.74e-01, 
2.30144e-02,4.32e-01,1.74e-01, 
2.31144e-02,4.56e-01,1.69e-01, 
2.32144e-02,4.56e-01,1.68e-01, 
2.33144e-02,4.80e-01,1.73e-01, 
2.34144e-02,4.80e-01,1.73e-01, 
2.35144e-02,5.04e-01,1.83e-01, 
2.36144e-02,5.04e-01,1.84e-01, 
2.37144e-02,5.28e-01,1.94e-01, 
2.38144e-02,5.28e-01,1.92e-01, 
2.39144e-02,5.52e-01,2.00e-01, 
2.40144e-02,5.52e-01,1.98e-01, 
2.41144e-02,5.76e-01,1.93e-01, 
2.42144e-02,5.76e-01,1.93e-01, 
2.43144e-02,6.00e-01,1.86e-01, 
2.44144e-02,6.00e-01,1.86e-01, 
2.45144e-02,6.24e-01,1.75e-01, 
2.46144e-02,6.24e-01,1.75e-01, 
2.47144e-02,6.48e-01,1.70e-01, 
2.48144e-02,6.40e-01,1.70e-01, 
2.49144e-02,6.24e-01,1.67e-01, 
2.50144e-02,6.24e-01,1.69e-01, 
2.51144e-02,5.92e-01,1.74e-01, 
2.52144e-02,5.92e-01,1.75e-01, 
2.53144e-02,5.76e-01,1.90e-01, 
2.54144e-02,5.68e-01,1.91e-01, 
2.55144e-02,5.44e-01,1.95e-01, 
2.56144e-02,5.44e-01,1.92e-01, 
2.57144e-02,5.20e-01,1.97e-01, 
2.58144e-02,5.20e-01,1.99e-01, 
2.59144e-02,5.04e-01,1.92e-01, 
2.60144e-02,5.04e-01,1.91e-01, 
2.61144e-02,4.80e-01,1.80e-01, 
2.62144e-02,4.72e-01,1.78e-01, 
2.63144e-02,4.56e-01,1.72e-01, 
2.64144e-02,4.48e-01,1.71e-01, 
2.65144e-02,4.24e-01,1.68e-01, 
2.66144e-02,4.24e-01,1.69e-01, 
2.67144e-02,4.00e-01,1.78e-01, 
2.68144e-02,3.92e-01,1.79e-01, 
2.69144e-02,3.76e-01,1.91e-01, 
2.70144e-02,3.68e-01,1.91e-01, 
2.71144e-02,3.52e-01,1.97e-01, 
2.72144e-02,3.44e-01,1.97e-01, 
2.73144e-02,3.28e-01,1.93e-01, 
2.74144e-02,3.20e-01,1.92e-01, 
2.75144e-02,3.04e-01,1.77e-01, 
2.76144e-02,3.04e-01,1.79e-01, 
2.77144e-02,2.80e-01,1.67e-01, 
2.78144e-02,2.80e-01,1.68e-01, 
2.79144e-02,2.56e-01,1.74e-01, 
2.80144e-02,2.56e-01,1.73e-01, 
2.81144e-02,2.24e-01,1.90e-01, 
2.82144e-02,2.24e-01,1.88e-01, 
2.83144e-02,2.00e-01,1.99e-01, 
2.84144e-02,2.00e-01,1.97e-01, 
2.85144e-02,1.76e-01,1.92e-01, 
2.86144e-02,1.68e-01,1.90e-01, 
2.87144e-02,1.52e-01,1.75e-01, 
2.88144e-02,1.52e-01,1.75e-01, 
2.89144e-02,1.28e-01,1.68e-01, 
2.90144e-02,1.20e-01,1.69e-01, 
2.91144e-02,1.04e-01,1.79e-01, 
2.92144e-02,9.60e-02,1.79e-01, 
2.93144e-02,8.00e-02,1.93e-01, 
2.94144e-02,8.00e-02,1.95e-01, 
2.95144e-02,5.60e-02,1.98e-01, 
2.96144e-02,4.80e-02,1.97e-01, 
2.97144e-02,2.40e-02,1.84e-01, 
2.98144e-02,2.40e-02,1.81e-01, 
2.99144e-02,0.00e+00,1.70e-01, 
